freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.293e+03,1.483e+02,4.794e+01,1.489e+03
1.3,7.132e+03,8.102e+02,2.568e+02,8.199e+03
2.7,9.589e+03,9.653e+02,3.172e+02,1.087e+04
4.0,1.025e+04,1.050e+03,3.457e+02,1.165e+04
5.3,1.001e+04,9.988e+02,3.434e+02,1.135e+04
6.6,1.009e+04,1.078e+03,3.519e+02,1.152e+04
8.0,1.017e+04,1.131e+03,3.537e+02,1.165e+04
9.3,1.229e+04,1.076e+03,3.783e+02,1.375e+04
10.6,1.276e+04,1.077e+03,3.358e+02,1.417e+04
11.9,1.435e+04,1.188e+03,3.499e+02,1.589e+04
13.3,1.511e+04,1.265e+03,3.831e+02,1.676e+04
14.6,1.711e+04,1.232e+03,4.127e+02,1.875e+04
15.9,2.255e+04,1.386e+03,4.391e+02,2.437e+04
17.2,2.107e+04,1.256e+03,4.765e+02,2.281e+04
18.6,2.408e+04,1.344e+03,5.588e+02,2.598e+04
19.9,2.639e+04,1.395e+03,5.565e+02,2.834e+04
21.2,2.986e+04,1.506e+03,6.120e+02,3.198e+04
22.6,3.135e+04,1.352e+03,6.692e+02,3.337e+04
23.9,2.765e+04,1.304e+03,7.622e+02,2.972e+04
25.2,3.105e+04,1.510e+03,1.379e+03,3.393e+04
26.5,3.824e+04,1.574e+03,2.211e+03,4.202e+04
27.9,3.400e+04,1.459e+03,1.692e+03,3.715e+04
29.2,3.400e+04,1.576e+03,1.851e+03,3.743e+04
30.5,3.233e+04,1.808e+03,1.468e+03,3.561e+04
31.8,3.215e+04,1.771e+03,1.016e+03,3.494e+04
33.2,4.224e+04,1.928e+03,1.074e+03,4.525e+04
34.5,4.640e+04,1.849e+03,1.066e+03,4.932e+04
35.8,5.185e+04,2.068e+03,1.134e+03,5.505e+04
37.2,5.340e+04,2.083e+03,1.079e+03,5.656e+04
38.5,5.992e+04,2.273e+03,1.143e+03,6.333e+04
39.8,5.938e+04,2.423e+03,1.102e+03,6.290e+04
41.1,6.810e+04,2.799e+03,1.219e+03,7.212e+04
42.5,6.639e+04,2.773e+03,9.690e+02,7.013e+04
43.8,7.384e+04,3.250e+03,1.021e+03,7.811e+04
45.1,9.262e+04,3.546e+03,1.094e+03,9.726e+04
46.4,1.048e+05,3.800e+03,1.232e+03,1.098e+05
47.8,1.321e+05,4.682e+03,1.417e+03,1.382e+05
49.1,1.205e+05,4.338e+03,1.379e+03,1.262e+05
50.4,1.380e+05,4.888e+03,1.846e+03,1.447e+05
51.7,1.713e+05,6.439e+03,2.442e+03,1.802e+05
53.1,1.697e+05,6.934e+03,2.700e+03,1.793e+05
54.4,1.687e+05,6.660e+03,2.751e+03,1.782e+05
55.7,2.715e+05,9.603e+03,3.824e+03,2.849e+05
57.1,3.003e+05,9.924e+03,3.561e+03,3.138e+05
58.4,2.386e+05,8.732e+03,2.693e+03,2.501e+05
59.7,2.521e+05,1.042e+04,2.662e+03,2.651e+05
61.0,3.072e+05,1.123e+04,3.290e+03,3.217e+05
62.4,2.619e+05,1.093e+04,2.585e+03,2.754e+05
63.7,2.012e+05,9.976e+03,1.937e+03,2.131e+05
65.0,2.903e+05,1.333e+04,2.186e+03,3.059e+05
66.3,3.465e+05,1.606e+04,2.240e+03,3.648e+05
67.7,2.023e+05,1.250e+04,2.002e+03,2.168e+05
69.0,2.310e+05,1.392e+04,2.406e+03,2.474e+05
70.3,2.298e+05,1.413e+04,2.401e+03,2.463e+05
71.6,1.967e+05,1.533e+04,2.376e+03,2.144e+05
73.0,1.476e+05,1.392e+04,2.420e+03,1.639e+05
74.3,1.330e+05,1.319e+04,2.387e+03,1.485e+05
75.6,1.274e+05,1.389e+04,2.647e+03,1.440e+05
77.0,1.205e+05,1.564e+04,3.254e+03,1.394e+05
78.3,9.732e+04,1.547e+04,3.413e+03,1.162e+05
79.6,9.036e+04,1.726e+04,4.111e+03,1.117e+05
80.9,8.897e+04,1.818e+04,4.081e+03,1.112e+05
82.3,1.055e+05,2.308e+04,5.083e+03,1.337e+05
83.6,1.129e+05,2.662e+04,5.777e+03,1.453e+05
84.9,1.035e+05,2.794e+04,6.420e+03,1.379e+05
86.2,7.690e+04,2.233e+04,5.500e+03,1.047e+05
87.6,6.919e+04,2.124e+04,5.122e+03,9.555e+04
88.9,7.045e+04,2.470e+04,6.135e+03,1.013e+05
90.2,6.264e+04,2.396e+04,6.330e+03,9.293e+04
91.6,5.280e+04,2.243e+04,6.246e+03,8.147e+04
92.9,5.875e+04,3.126e+04,9.099e+03,9.911e+04
94.2,6.153e+04,3.451e+04,9.914e+03,1.059e+05
95.5,5.279e+04,2.884e+04,8.788e+03,9.042e+04
96.9,4.851e+04,2.806e+04,9.638e+03,8.620e+04
98.2,4.626e+04,3.058e+04,1.094e+04,8.777e+04
99.5,4.396e+04,2.981e+04,1.061e+04,8.438e+04
100.8,4.123e+04,2.937e+04,9.927e+03,8.054e+04
102.2,4.537e+04,3.449e+04,1.269e+04,9.255e+04
103.5,3.583e+04,2.759e+04,1.016e+04,7.359e+04
104.8,2.934e+04,2.521e+04,9.868e+03,6.442e+04
106.1,3.047e+04,3.094e+04,1.133e+04,7.275e+04
107.5,2.453e+04,2.791e+04,9.780e+03,6.222e+04
108.8,2.189e+04,2.641e+04,8.969e+03,5.727e+04
110.1,1.963e+04,2.961e+04,1.128e+04,6.052e+04
111.5,1.664e+04,2.650e+04,1.064e+04,5.378e+04
112.8,1.674e+04,2.734e+04,1.101e+04,5.509e+04
114.1,1.376e+04,2.341e+04,9.318e+03,4.649e+04
115.4,1.302e+04,2.091e+04,8.581e+03,4.251e+04
116.8,1.362e+04,1.745e+04,6.940e+03,3.801e+04
118.1,1.290e+04,1.638e+04,5.899e+03,3.518e+04
119.4,1.396e+04,1.668e+04,5.993e+03,3.663e+04
120.7,1.141e+04,1.430e+04,4.438e+03,3.015e+04
122.1,9.338e+03,1.144e+04,3.004e+03,2.379e+04
