freq,psd_x,psd_y,psd_z,psd_xyz
0.0,2.419e+02,3.632e+02,2.507e+03,3.113e+03
1.3,1.178e+03,1.968e+03,1.244e+04,1.559e+04
2.6,1.534e+03,2.361e+03,1.571e+04,1.961e+04
4.0,1.553e+03,2.329e+03,1.658e+04,2.046e+04
5.3,1.591e+03,2.344e+03,1.698e+04,2.091e+04
6.6,1.402e+03,2.339e+03,1.594e+04,1.968e+04
7.9,1.413e+03,2.453e+03,1.819e+04,2.206e+04
9.2,1.894e+03,2.662e+03,2.115e+04,2.570e+04
10.5,1.394e+03,2.316e+03,1.807e+04,2.178e+04
11.9,1.240e+03,2.294e+03,1.834e+04,2.187e+04
13.2,1.369e+03,2.584e+03,2.272e+04,2.667e+04
14.5,1.375e+03,2.588e+03,2.415e+04,2.811e+04
15.8,1.486e+03,2.478e+03,3.038e+04,3.435e+04
17.1,1.897e+03,2.733e+03,3.427e+04,3.890e+04
18.4,1.911e+03,3.322e+03,3.335e+04,3.858e+04
19.8,1.730e+03,2.969e+03,2.824e+04,3.293e+04
21.1,1.673e+03,3.270e+03,2.744e+04,3.239e+04
22.4,1.847e+03,3.362e+03,3.656e+04,4.177e+04
23.7,2.264e+03,3.697e+03,4.394e+04,4.990e+04
25.0,2.860e+03,3.900e+03,4.400e+04,5.076e+04
26.3,3.858e+03,4.217e+03,6.034e+04,6.841e+04
27.7,4.500e+03,4.887e+03,7.283e+04,8.222e+04
29.0,3.197e+03,4.787e+03,5.318e+04,6.116e+04
30.3,3.648e+03,5.038e+03,6.940e+04,7.808e+04
31.6,3.654e+03,5.812e+03,8.472e+04,9.419e+04
32.9,2.516e+03,6.114e+03,6.945e+04,7.808e+04
34.3,2.238e+03,6.210e+03,6.608e+04,7.452e+04
35.6,2.366e+03,7.008e+03,6.979e+04,7.917e+04
36.9,3.001e+03,8.835e+03,7.974e+04,9.158e+04
38.2,2.637e+03,9.603e+03,7.448e+04,8.672e+04
39.5,2.684e+03,1.171e+04,7.993e+04,9.432e+04
40.8,3.091e+03,1.640e+04,9.725e+04,1.167e+05
42.2,2.975e+03,1.967e+04,1.303e+05,1.529e+05
43.5,2.992e+03,2.567e+04,1.430e+05,1.716e+05
44.8,3.403e+03,2.858e+04,1.166e+05,1.486e+05
46.1,3.548e+03,2.661e+04,1.135e+05,1.437e+05
47.4,4.597e+03,2.954e+04,1.148e+05,1.490e+05
48.7,4.659e+03,2.996e+04,1.084e+05,1.430e+05
50.1,3.823e+03,2.790e+04,8.916e+04,1.209e+05
51.4,3.179e+03,2.761e+04,8.303e+04,1.138e+05
52.7,4.027e+03,3.340e+04,8.436e+04,1.218e+05
54.0,4.318e+03,3.858e+04,7.927e+04,1.222e+05
55.3,4.253e+03,3.508e+04,7.191e+04,1.112e+05
56.7,5.228e+03,2.506e+04,7.276e+04,1.031e+05
58.0,5.968e+03,3.046e+04,7.249e+04,1.089e+05
59.3,7.271e+03,3.982e+04,9.216e+04,1.393e+05
60.6,7.898e+03,3.638e+04,9.874e+04,1.430e+05
61.9,8.210e+03,3.361e+04,9.386e+04,1.357e+05
63.2,8.577e+03,3.044e+04,8.506e+04,1.241e+05
64.6,7.757e+03,3.169e+04,8.900e+04,1.284e+05
65.9,9.108e+03,3.379e+04,9.584e+04,1.387e+05
67.2,1.154e+04,4.156e+04,1.150e+05,1.681e+05
68.5,1.373e+04,4.174e+04,1.375e+05,1.930e+05
69.8,1.636e+04,4.111e+04,1.611e+05,2.186e+05
71.1,2.339e+04,4.508e+04,2.247e+05,2.932e+05
72.5,1.888e+04,4.041e+04,1.790e+05,2.383e+05
73.8,2.482e+04,5.141e+04,2.363e+05,3.125e+05
75.1,3.493e+04,6.161e+04,3.470e+05,4.435e+05
76.4,3.460e+04,4.862e+04,3.388e+05,4.221e+05
77.7,3.413e+04,4.264e+04,3.188e+05,3.955e+05
79.0,4.386e+04,5.668e+04,4.375e+05,5.381e+05
80.4,3.959e+04,5.056e+04,3.801e+05,4.702e+05
81.7,3.945e+04,4.775e+04,3.675e+05,4.547e+05
83.0,3.806e+04,4.237e+04,3.742e+05,4.546e+05
84.3,4.607e+04,4.825e+04,4.510e+05,5.453e+05
